time_s,segment_range,active_range_carla,active_range_model,setpoint_carla_mps,setpoint_model_mps,speed_carla_mps,speed_model_mps,throttle_carla,throttle_model,brake_carla,brake_model,u_carla,u_model
0.8900,low,low,low,0.0000,0.0000,0.0391,5.6437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9000,low,low,low,0.0000,0.0000,0.0364,5.6225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9100,low,low,low,0.0000,0.0000,0.0338,5.6013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9200,low,low,low,0.0000,0.0000,0.0314,5.5803,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9300,low,low,low,0.0000,0.0000,0.0292,5.5593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9400,low,low,low,0.0000,0.0000,0.0271,5.5383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9500,low,low,low,0.0000,0.0000,0.0252,5.5175,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9600,low,low,low,0.0000,0.0000,0.0234,5.4967,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9700,low,low,low,0.0000,0.0000,0.0217,5.4760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9800,low,low,low,0.0000,0.0000,0.0201,5.4553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9900,low,low,low,0.0000,0.0000,0.0186,5.4347,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0000,low,low,low,0.0000,0.0000,0.0173,5.4142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0100,low,low,low,0.0000,0.0000,0.0160,5.3937,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0200,low,low,low,0.0000,0.0000,0.0148,5.3733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0300,low,low,low,0.0000,0.0000,0.0137,5.3530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0400,low,low,low,0.0000,0.0000,0.0127,5.3327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0500,low,low,low,0.0000,0.0000,0.0117,5.3125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0600,low,low,low,0.0000,0.0000,0.0109,5.2924,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0700,low,low,low,0.0000,0.0000,0.0100,5.2723,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0800,low,low,low,0.0000,0.0000,0.0093,5.2523,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0900,low,low,low,0.0000,0.0000,0.0086,5.2324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1000,low,low,low,0.0000,0.0000,0.0079,5.2125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1100,low,low,low,0.0000,0.0000,0.0073,5.1927,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1200,low,low,low,0.0000,0.0000,0.0068,5.1729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1300,low,low,low,0.0000,0.0000,0.0062,5.1532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1400,low,low,low,0.0000,0.0000,0.0058,5.1336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1500,low,low,low,0.0000,0.0000,0.0053,5.1141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1600,low,low,low,0.0000,0.0000,0.0049,5.0946,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1700,low,low,low,0.0000,0.0000,0.0045,5.0751,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1800,low,low,low,0.0000,0.0000,0.0042,5.0558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1900,low,low,low,0.0000,0.0000,0.0039,5.0364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2000,low,low,low,0.0000,0.0000,0.0036,5.0172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2100,low,low,low,0.0000,0.0000,0.0033,4.9980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2200,low,low,low,0.0000,0.0000,0.0030,4.9789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2300,low,low,low,0.0000,0.0000,0.0028,4.9598,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2400,low,low,low,0.0000,0.0000,0.0026,4.9408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2500,low,low,low,0.0000,0.0000,0.0024,4.9219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2600,low,low,low,0.0000,0.0000,0.0022,4.9030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2700,low,low,low,0.0000,0.0000,0.0020,4.8842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
